level,Phase,zt,n_ex,n_sed,U,p,p_fdr,sig
Phase_ZT,Active phase (ZT15),0.0,5,6,12.0,0.6623376623376623,0.752913752913753,ns
Phase_ZT,Active phase (ZT15),4.0,6,6,15.0,0.6991341991341992,0.752913752913753,ns
Phase_ZT,Active phase (ZT15),8.0,6,5,12.0,0.6623376623376623,0.752913752913753,ns
Phase_ZT,Active phase (ZT15),12.0,6,6,12.0,0.3939393939393939,0.6666666666666666,ns
Phase_ZT,Active phase (ZT15),16.0,6,6,6.0,0.06493506493506493,0.6666666666666666,ns
Phase_ZT,Active phase (ZT15),20.0,4,6,17.0,0.35238095238095235,0.6666666666666666,ns
Phase_ZT,Rest phase (ZT3),0.0,6,6,21.0,0.6991341991341992,0.752913752913753,ns
Phase_ZT,Rest phase (ZT3),4.0,6,6,11.0,0.30952380952380953,0.6666666666666666,ns
Phase_ZT,Rest phase (ZT3),8.0,6,6,25.0,0.30952380952380953,0.6666666666666666,ns
Phase_ZT,Rest phase (ZT3),12.0,6,5,10.0,0.42857142857142855,0.6666666666666666,ns
Phase_ZT,Rest phase (ZT3),16.0,6,6,28.0,0.13203463203463203,0.6666666666666666,ns
Phase_ZT,Rest phase (ZT3),20.0,6,6,9.0,0.17965367965367965,0.6666666666666666,ns
Phase_only,Active phase (ZT15),,33,35,483.0,0.2487211900854196,0.6666666666666666,ns
Phase_only,Rest phase (ZT3),,36,35,629.0,0.9954117531567951,0.9954117531567951,ns
